user_pn;int_rate;installment;issue_d_period;debt;cr_line_period;pub_rec;revol_bal;revol_util;open_acc;total_acc;mort_acc;collections_12_mths_ex_med;mortgage_debt;mortgage_repayment;repayment;mortgage_term
010-0123-2113;3.5;690.7;1;43456;0;0.3;4700;18;1;0;1;0.2;300000;3300;1300;1
010-0123-4567;3.5;680.8;1;33456;0;0.3;4900;18;1;0;1;0.2;300000;3400;1400;2
010-1234-5678;3.5;250;18;10000;18;0;5000;45;2;5;1;0;200000;1500;1750;20
010-1431-5578;4.4;860;3;44567;1;0.6;6100;27;4;1;5;0.1;450000;4700;2300;4
010-1818-1818;4.1;840.2;2;22345;1;0.7;5700;29;5;1;4;0;410000;5000;1900;4
010-1881-5555;3.8;750.2;2;34567;0;0.8;5500;22;2;1;3;0;300000;4000;1800;3
010-2344-6589;4.2;890;3;45678;1;0.5;6200;30;4;0;4;0.1;450000;5200;1900;2
010-2345-6789;4.2;320;6;15000;5;1;8000;60;3;6;1;1;250000;1700;2020;25
010-3421-7899;4;820.5;4;66789;1;0.7;6000;28;5;1;4;0;420000;5200;2000;3
010-3456-7890;2.8;200;8;5000;1;0;4000;30;1;4;0;0;180000;1400;1600;15
010-3456-7891;4;810.1;4;56789;1;0.7;5800;28.5;5;1;2;0;380000;4300;2100;4
010-4327-8991;3.9;780.3;3;77890;0;0.5;5400;26;3;0;2;0.1;370000;4600;2100;2
010-4357-0987;4.5;880.5;3;43222;1;0.6;6000;25.5;3;1;4;0;400000;5000;2000;4
010-4567-8901;5;400;7;20000;3;2;10000;70;4;8;2;1;300000;2000;2400;30
010-4567-8911;3.9;780.4;3;67890;0;0.6;6000;25;3;0;5;0.2;400000;4900;2500;1
010-5555-5555;3.8;740.9;2;55678;0;0.4;5300;23.5;2;0;3;0;330000;3800;1500;1
010-5678-9012;3.7;270;10;12000;5;0.5;6000;50;2;5;1;0;220000;1600;1900;20
010-5678-9022;4.5;860.8;5;78901;1;0.9;5400;26.8;2;1;4;0;420000;5100;2000;3
010-6789-0123;3.7;700.3;1;89012;0;0.4;5200;20.5;1;1;3;0.3;310000;3700;1500;2
010-6943-0223;3.7;710.4;2;99012;0;0.6;5000;20;1;0;3;0.3;310000;3700;1700;1
010-7777-1234;4.3;870.1;4;10123;1;0.7;5900;29;5;1;4;0;400000;4600;2200;3
010-7890-1234;4.3;880.6;4;90123;1;0.6;5800;27.5;4;1;5;0;390000;4500;1700;4
010-8888-999;4.2;890;5;88901;1;0.8;6500;30.5;4;1;5;0;440000;5000;2400;4
010-8901-2345;3.6;720;3;11234;0;0.5;5100;24;3;0;2;0.1;360000;4200;1600;3
010-9213-3256;4.1;850.9;2;32345;1;0.5;6100;27.5;4;1;5;0;430000;4900;2000;4
010-9999-9999;3.6;730.8;3;21234;0;0.4;5200;24;2;0;2;0.2;340000;4000;1600;2
